S/N,Category,Difficulty,Card Pool
72,Francium,Medium,"Fr, Atomic number 87, Period 7, Group 1, Alkali metal"
73,Francium Physical Properties,Hard,"Radioactive, Extremely rare, Predicted soft metal, Predicted silvery appearance, Short-lived, Naturally occurring in traces"
74,Francium Chemical Properties,Hard,"Forms Fr? ions, Loses one electron, Extremely reactive, Radioactive, Expected to react with water, Expected to form ionic compounds"
75,Francium Occurrence,Hard,"Uranium decay, Trace quantities, Earth’s crust, Radioactive decay, Short half-life"
76,Francium Uses,Hard,"Scientific research, Atomic structure studies, Radioactivity research, No commercial use"
77,Francium Compounds,Hard,"(-)chloride, (-)hydroxide, (-)salts"
78,Francium Position and Trends,Hard,"Bottom of Group 1, Largest atomic radius, Very low ionisation energy, Highly reactive, Period 7"
79,Fluorine,Easy,"F, Atomic number 9, Period 2, Group 7, Halogen"
80,Fluorine Physical Properties,Medium,"Pale yellow, Gas at room temperature, Diatomic, Low boiling point, Non-metal, Toxic"
81,Fluorine Chemical Properties,Medium,"Forms F? ions, Gains one electron, Most reactive halogen, Strong oxidising agent, Reacts with metals, Forms fluorides"
82,Fluorine Uses,Medium,"Toothpaste, Water fluoridation, Non-stick coatings, Refrigerants, Uranium processing"
83,Fluorine Compounds,Hard,"(-)fluoride, (-)fluoride, (-)fluoride, (-)fluoride, Sulfur hexafluoride"
84,Fluorine Position and Trends,Hard,"Top of Group 7, Smallest halogen atom, Highest reactivity, Lowest boiling point, Strongest oxidising halogen"
85,Chlorine,Easy,"Cl, Atomic number 17, Period 3, Group 7, Halogen"
86,Chlorine Physical Properties,Medium,"Greenish-yellow, Gas at room temperature, Diatomic, Toxic, Strong smell, Non-metal"
87,Chlorine Chemical Properties,Hard,"Forms Cl? ions, Gains one electron, Reactive non-metal, Strong oxidising agent, Reacts with metals, Forms chlorides"
88,Chlorine Uses,Medium,"Drinking-water treatment, Swimming pools, Bleach, PVC manufacture, Disinfectants"
89,Chlorine Compounds,Easy,"Hydrogen chloride, Sodium chloride, Potassium chloride, Calcium chloride, Sodium chlorate(I)"
90,Chlorine Displacement Reactions,Medium,"Displaces bromide, Displaces iodide, More reactive than bromine, More reactive than iodine, Forms bromine, Forms iodine"
91,Chlorine Position and Trends,Medium,"Below fluorine, Above bromine, Gas at room temperature, Less reactive than fluorine, More reactive than bromine"
92,Bromine,Easy,"Br, Atomic number 35, Period 4, Group 7, Halogen"
93,Bromine Physical Properties,Medium,"Red-brown, Liquid at room temperature, Diatomic, Volatile, Toxic, Non-metal"
94,Bromine Chemical Properties,hard,"Forms Br? ions, Gains one electron, Reacts with metals, Forms bromides, Oxidising agent, Less reactive than chlorine"
95,Bromine Uses,Medium,"Flame retardants, Photography, Water treatment, Medicines, Drilling fluids"
96,Bromine Compounds,Easy,"Hydrogen bromide, Sodium bromide, Potassium bromide, Silver bromide, Calcium bromide"
97,Bromine Displacement Reactions,Medium,"Displaces iodide, Cannot displace chloride, Less reactive than chlorine, More reactive than iodine, Produces iodine"
98,Bromine Position and Trends,Medium,"Below chlorine, Above iodine, Liquid at room temperature, Darker colour, Higher boiling point"
99,Iodine,Easy,"I, Atomic number 53, Period 5, Group 7, Halogen"
100,Iodine Physical Properties,Medium,"Grey-black solid, Purple vapour, Diatomic, Shiny crystals, Non-metal, Sublimes when heated"
101,Iodine Chemical Properties,Hard,"Forms I? ions, Gains one electron, Reacts with metals, Forms iodides, Weak oxidising agent, Less reactive than bromine"
102,Iodine Uses,Medium,"Antiseptics, Iodised salt, Thyroid medicine, Medical imaging, Starch testing"
103,Iodine Compounds,Easy,"Hydrogen iodide, Potassium iodide, Sodium iodide, Silver iodide, Lead iodide"
104,Iodine Displacement Reactions,Medium,"Cannot displace chloride, Cannot displace bromide, Displaced by chlorine, Displaced by bromine, Least reactive common halogen"
105,Iodine Position and Trends,Hard,"Below bromine, Solid at room temperature, Darker colour, Higher boiling point, Lower reactivity"
106,Astatine,Medium,"At, Atomic number 85, Period 6, Group 7, Halogen"
107,Astatine Physical Properties,Hard,"Radioactive, Extremely rare, Solid, Dark appearance, Short-lived, Naturally occurs in traces"
108,Astatine Chemical Properties,Hard,"Can form At? ions, Less reactive than iodine, Forms astatides, Radioactive, More metallic character, Reacts with some metals"
109,Astatine Occurrence,Hard,"Uranium decay, Thorium decay, Trace quantities, Earth’s crust, Radioactive decay, Short half-life"
110,Astatine Uses,Hard,"Scientific research, Cancer-treatment research, Targeted alpha therapy, Nuclear chemistry research"
111,Astatine Compounds,Hard,"Hydrogen astatide, Sodium astatide, Silver astatide, Astatine salts"
112,Astatine Position and Trends,Hard,"Below iodine, Larger atomic radius, Lower reactivity, Higher metallic character, Higher boiling point"
113,Helium,Easy,"He, Atomic number 2, Period 1, Group 0, Noble gas"
114,Helium Physical Properties,Easy,"Colourless, Odourless, Gas at room temperature, Very low density, Monatomic, Very low boiling point"
115,Helium Chemical Properties,Medium,"Very unreactive, Non-flammable, Full first electron shell, Chemically inert, Rarely forms compounds, Does not readily form ions"
116,Helium Uses,Medium,"Balloons, MRI scanners, NMR instruments, Leak detection, Deep-sea diving mixtures, Welding atmosphere"
117,Helium Occurrence,Medium,"Stars, Natural gas deposits, Radioactive decay, Earth’s atmosphere, Second-most abundant element in the universe"
118,Helium Position and Trends,Hard,"Top of Group 0, Lowest density in the group, Lowest boiling point, Smallest noble-gas atom, Two electrons in outer shell"
119,Neon,Easy,"Ne, Atomic number 10, Period 2, Group 0, Noble gas"
120,Neon Physical Properties,Easy,"Colourless, Odourless, Gas at room temperature, Monatomic, Low density, Low boiling point"
121,Neon Chemical Properties,Medium,"Very unreactive, Non-flammable, Full outer shell, Chemically inert, Does not readily form ions, No common compounds"
122,Neon Uses,Medium,"Advertising signs, High-voltage indicators, Switching equipment, Lightning arresters, Lasers, Cryogenic refrigeration"
123,Neon Lighting,Easy,"Red-orange glow, Discharge tube, Advertising sign, Electric current, Low-pressure gas"
124,Neon Occurrence,Hard,"Earth’s atmosphere, Liquid air, Fractional distillation, Rare atmospheric gas, Abundant in the universe"
125,Argon,Easy,"Ar, Atomic number 18, Period 3, Group 0, Noble ga"
126,Argon Physical Properties,Easy,"Colourless, Odourless, Gas at room temperature, Monatomic, Low boiling point, Denser than air"
127,Argon Chemical Properties,Medium,"Very unreactive, Non-flammable, Full outer shell, Chemically inert, Rarely forms compounds, Protective atmosphere"
128,Argon Uses,Medium,"Welding, Light bulbs, Fluorescent tubes, Double-glazed windows, Titanium production, Low-energy lamps"
129,Argon Occurrence,Medium,"Earth’s atmosphere, Liquid air, Fractional distillation, Potassium-40 decay, Third-most abundant atmospheric gas"
130,Argon Position and Trends,Hard,"Below neon, Above krypton, Larger atomic radius than neon, Higher boiling point than neon, Period 3 noble gas"
131,Krypton,Easy,"Kr, Atomic number 36, Period 4, Group 0, Noble gas"
132,Krypton Physical Properties,Easy,"Colourless, Odourless, Gas at room temperature, Monatomic, Low boiling point, Dense noble gas"
133,Krypton Chemical Properties,Medium,"Mostly unreactive, Full outer shell, Reacts with fluorine, Forms limited compounds, Non-flammable, Chemically stable"
134,Krypton Uses,Hard,"Energy-saving lights, Flash lamps, High-speed photography, Krypton-fluoride lasers, Scientific research, Nuclear monitoring"
135,Krypton Compounds,Medium,"Krypton difluoride, KrF?, Fluorine compound, Strong oxidising compound"
136,Krypton Occurrence,Hard,"Earth’s atmosphere, Liquid air, Fractional distillation, Rare atmospheric gas, Nuclear reactors"
137,Krypton Position and Trends,Hard,"Below argon, Above xenon, Higher density than argon, Higher boiling point than argon, Larger atomic radius"
138,Xenon,Easy,"Xe, Atomic number 54, Period 5, Group 0, Noble gas"
139,Xenon Physical Properties,Easy,"Colourless, Odourless, Gas at room temperature, Monatomic, Dense gas, Low boiling point"
140,Xenon Chemical Properties,Medium,"Very unreactive, Full outer shell, Forms some compounds, Reacts with fluorine, Strong oxidising compounds, Non-flammable"
141,Xenon Uses,Hard,"Camera flash lamps, Bactericidal lamps, Ruby lasers, Satellite propulsion, Spacecraft engines, Silicon etching"
142,Xenon Compounds,Hard,"Xenon difluoride, Xenon tetrafluoride, Xenon hexafluoride, Xenon oxides, Xenon fluorides"
143,Xenon Occurrence,Hard,"Earth’s atmosphere, Mineral springs, Liquid air, Fractional distillation, Rare atmospheric gas"
144,Xenon Position and Trends,Hard,"Below krypton, Above radon, Higher density than krypton, Higher boiling point than krypton, Larger atomic radius"
145,Radon,Easy,"Rn, Atomic number 86, Period 6, Group 0, Noble gas"
146,Radon Physical Properties,Medium,"Colourless, Odourless, Gas at room temperature, Monatomic, Very dense gas, Low boiling point"
147,Radon Chemical Properties,Hard,"Chemically unreactive, Radioactive, Full outer shell, Decays naturally, Emits alpha radiation, Forms few compounds"
148,Radon Occurrence and Risks,Medium,"Rocks, Soil, Granite buildings, Indoor air, Radium-226 decay, Home radon testing"
149,Historical Radon Uses,Hard,"Cancer therapy, Sealed radioactive tubes, Tumour treatment, Radiation source"
150,Radon Position and Trends,Hard,"Below xenon, Above oganesson, Higher density than xenon, Higher boiling point than xenon, Radioactive noble gas"
151,Oganesson,Easy,"Og, Atomic number 118, Period 7, Group 0, Superheavy element"
152,Oganesson Physical Properties,Hard,"Synthetic, Highly radioactive, Extremely unstable, Predicted solid, Very heavy, Produced atom by atom"
153,Oganesson Chemical Information,Hard,"Full outer electron shell, Limited experimental evidence, Properties mainly predicted, No common compounds, Very short-lived atoms"
154,Oganesson Production,Hard,"Particle accelerator, Nuclear fusion, Heavy nuclei, Laboratory synthesis, Few atoms produced"
155,Oganesson Uses,Hard,"Scientific research, Nuclear research, Superheavy-element studies, Atomic-structure research, No commercial use"
156,Oganesson Isotopes,Hard,"Oganesson-294, Radioactive isotope, Very short half-life, Rapid decay, Unstable nucleus"
157,Oganesson Position and Trends,Hard,"Bottom of Group 0, Period 7, Highest atomic number, Heaviest Group 0 element, Largest noble-gas atom"
158,Periodic Table Structure,Easy,"Rows, Columns, Groups, Periods, Elements, Left side, Right side"
159,Periodic Information,Easy,"Element name, Chemical symbol, Atomic number, Relative atomic mass, Group, Period"
160,Groups,Easy,"Vertical columns, Similar properties, Similar reactions, Same outer electrons, Chemical families"
161,Periods,Easy,"Horizontal rows, Read across, Electron shells, Increasing atomic number, Changing properties"
162,Periodic Table Regions,Easy,"Left side, Centre, Right side, Top, Bottom, Staircase boundary"
163,Element Classifications,Easy,"Metal, Non-metal, Metalloid, Alkali metal, Halogen, Noble gas, Transition metal"
164,Physical Properties,Easy,"Colour, State, Density, Melting point, Boiling point, Conductivity, Hardness"
165,Chemical Properties,Easy,"Reactivity, Ion formation, Oxidation, Reaction with water, Reaction with oxygen, Reaction with acids"
166,Metal Properties,Easy,"Shiny, Malleable, Ductile, Conducts heat, Conducts electricity, Usually solid, High density"
167,Non-metal Properties,Easy,"Dull, Brittle, Poor conductor, Low density, Low melting point, Solid or gas, Not malleable"
168,Position of Metals,Easy,"Left side, Centre, Below staircase, Most elements, Transition region"
169,Position of Non-metals,Easy,"Right side, Above staircase, Upper-right region, Fewer elements"
170,State-Related Terms,Easy,"Solid, Liquid, Gas, Room temperature, Melting point, Boiling point"
171,Periodic Table,Easy,"Element, Symbol, Group, Period, Property, Pattern, Reactivity"
172,Trend Direction Words,Easy,"Across, Down, Increase, Decrease, Pattern, Similarity, Anomaly"
173,Comparing Elements,Medium,"Similarity, Difference, Higher, Lower, More reactive, Less reactive, Anomaly"
174,Pattern Recognition,Medium,"Trend, Sequence, Repeating pattern, Similar properties, Missing value, Anomaly, Prediction"
175,Data Interpretation Skills,Medium,"Compare, Sort, Classify, Estimate, Identify, Predict, Justify"
176,Predicting Element Position,Medium,"Physical properties, Chemical properties, Group, Period, Metal, Non-metal, Reactivity"
177,Predicting Element Properties,Medium,"Position, Group pattern, Period pattern, Similar reactions, Physical data, Chemical data"
178,Patterns Down a Group,Medium,"Similar reactions, Same outer electrons, Increasing atomic size, Changing reactivity, Changing boiling point, Changing melting point"
179,Patterns Across a Period,Medium,"Increasing atomic number, Increasing proton number, Changing properties, Metals to non-metals, Same number of shells"
180,Atomic Structure Links,Medium,"Proton number, Electron arrangement, Outer electrons, Electron shells, Ion formation, Reactivity"
181,Choosing Elements for Uses,Medium,"Good conductor, Low density, Strong, Unreactive, Corrosion-resistant, High melting point, Flexible"
182,Property Data,Medium,"Density, Melting point, Boiling point, Electrical conductivity, Thermal conductivity, Reactivity, State"
183,Factors Affecting Atomic Size,Hard,"Number of shells, Nuclear charge, Shielding, Distance from nucleus, Attraction, Electron repulsion"
184,Factors Affecting Reactivity,Hard,"Outer electrons, Electron loss, Electron gain, Atomic radius, Shielding, Nuclear attraction"
185,Factors Affecting Ionisation Energy,Hard,"Nuclear charge, Shielding, Atomic radius, Electron attraction, Distance from nucleus, Outer electron"
186,Advanced Periodic Vocabulary,Hard,"Ionisation energy, Electronegativity, Electron affinity, Shielding, Nuclear charge, Atomic radius"
